Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer salary,min_salary,max_salary,avg_salary,Company_text,check_state,state1,python_yn,r_studio,spark,aws,excel
Data Scientist,$78K-$133K (Glassdoor est.),"Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",3.3,"Publishers Clearing House
3.3","Jericho, NY",-1,501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),-1,0,0,78,133,105.5,"Publishers Clearing House
",1, NY,1,0,0,1,1
Data Scientist,$78K-$133K (Glassdoor est.),"Description

Job Description:

Leidos has a need for an analyst or data scientist with experience in training for a project located in McLean, VA. In this role, candidate will work at a customer site to provide intelligence support for analytic methodology customers across regional domains to include analysis and research for industry, infrastructure, technology, biographic, and targeted vulnerability. Provides support to analysis of social networks on an ad-hoc basis as directed. The ideal candidate is able to make sense of large datasets in support of network and geo-spatial analysis.

20% of the candidate’s time will also be dedicated to supporting and instructing an introduction and advanced social network analysis class.

Work on quantitative analysis projects

Support the development of new methodologies

Support the development of customer’s analytics code-base

Train customer in use of social network analysis methodologies

Required Skills and Experience:

TS/SCI with Poly required to be considered
Bachelor's Degree and at least 4 years' experience
•Experience with Python, R, or other programming languages
•Familiarity with relational data and quantitative analysis thereof
•Strong basic computer skills (Microsoft office, specifically excel)
•Strong presentation skills and ability to interact positively with students in a learning environment
•Strong organizational skills
•Experience with Github
•Experience with network analysis tools such as Analyst’s Notebook, Renoir, ORA, or UCINET
•Experience with Social Network Analysis and/or Geospatial Analysis

External Referral Bonus:
Eligible

Potential for Telework:
No

Clearance Level Required:
Top Secret/SCI with Polygraph

Travel:
Yes, 10% of the time

Scheduled Weekly Hours:
40

Shift:
Day

Requisition Category:
Professional

Job Family:
Data Scientist

Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world's toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company's 33,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Virginia, Leidos reported annual revenues of approximately $10.19 billion for the fiscal year ended December 28, 2018. For more information, visit www.Leidos.com.

Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.

Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.

All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.",3.6,"Leidos
3.6","McLean, VA",-1,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,78,133,105.5,"Leidos
",1, VA,1,0,0,1,1
Senior Data Scientist Virtual Hiring Event,$78K-$133K (Glassdoor est.),"The Zebra Hiring Event // Senior Data Scientist

Event Details
Date: Wednesday, September 30, 2020

What We're Hiring For

Senior Data Scientist

Intake Details:

Requirements

5+ years experience as a data scientist

Solid mathematical foundation and knowledge of a variety of ML and statistical methods

Strong proficiency in SQL and Python

Familiarity with writing production code and modern software engineering best practices

Bachelor’s degree in a quantitative field, or equivalent experience

Experience as a data scientist in a product driven B2C startup

Experience applying data science to marketing use cases (automated bidding, attribution, etc.)

Technical requirements

Thanks for applying to The Zebra! In this virtual interview, we will go over your background and experience and share more about The Zebra and this position.

The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the virtual interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.

What to bring to this event

Breathe easy & be yourself. We won’t be asking you any trick questions; we want to get to know the real you.

Do your research on us. We love it when people are interested & passionate about where they will be working. We have a lot of amazing people and we’d love to add more.

Use the STAR method for answering interview questions (when relevant) https://www.indeed.com/career-advice/interviewing/how-to-use-the-star-interview-response-technique

Visual presentation matters. With video/phone interviews - things can always go wrong last minute. Make sure you have prepared ahead of time.

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Business casual (dress pants/skirt, button down/blouse, optional tie).

About The Zebra

At The Zebra, our catchphrase is All Stripes Welcome. Diversity, inclusion, and belonging is an important part of our culture. We have active Employee Resource Groups and tons of extra-curricular activities (ie Cook-Offs, Trivia nights, internal/externally-led workshops, and many more!)

Some of our unique perks include a $100/month wellness benefit, amazing paid parental leave, pet adoption stipends (“Pawternity Leave”), Wednesday catered lunches & a coffee bar/barista onsite! We prioritize work-life balance and encourage our employees to use their unlimited PTO!

Our core values are centered around continuous learning & improvement, expressing gratitude, and delivering amazing solutions and experiences for both our customers and our employees.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

As a Data Scientist at The Zebra, you will collaborate cross-functionally, working with product managers, engineers, and marketers to identify opportunities and scope new data science projects. You’ll dig into data, build models, and design and analyze experiments to create the maximum impact for the business. You’ll work with software engineers to write production code and deploy models. As part of a small and highly autonomous team, you will have the unique opportunity to help define the data science process and Data Science team culture as a whole.

WHAT YOU'LL DO:

Build models to optimize and automate marketing acquisition efforts (i.e. bidding algorithms)
Collaborate with product managers, engineers, and business stakeholders to design and develop solutions that can successfully integrate with our business
Become a technical leader on the team and mentor more junior data scientists
Write maintainable, clean model code to deploy models using best practices from software engineering
Translate complex analytical results into insights, and communicate them throughout the organization",4.0,"The Zebra
4.0","Austin, TX",-1,51 to 200 Employees,2012,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,78,133,105.5,"The Zebra
",1, TX,1,0,0,0,0
Data Scientist Virtual Hiring Event,$78K-$133K (Glassdoor est.),"Orbis Operations Hiring Event!

Event Details
Date: Wednesday, September 30, 2020

What We're Hiring For

Software Engineers 1, 2, or 3

Test Engineers 2 or 3

System Engineer Level 5

System Administrator Level 3

Technical Writer Level 3

Configuration Manager Level 3

Reverse Engineer

Data Scientist

DNI/DNR/CNO Analyst

System Integration Engineer 3

Intake Details:

Requirements

Fully cleared professionals

Technical requirements

Webcam, microphone, broadband

What to bring to this event

Be ready to have a casual discussion about the resume and themselves

What to wear

Dress code is Casual (come as you are, but please be presentable).

About Orbis Operations

Orbis Operations is a privately held firm delivering forward-leaning solutions to the complex security challenges that face our customers, our nation and the world. Guided by deep, first-hand knowledge of U.S. Defense environment, we provide innovative solutions that integrate our extensive expertise in intelligence, cyber services, and human behavior analysis training.

While we serve both the public and private sectors, Orbis Operations' dedication to advancing the U.S. National Security interests runs deep into the heart of everything we do. The Orbis team understands the gravity of today's threats, the magnitude of the challenges we face and, most importantly, how to achieve mission success.

Many of us previously swore the oath to 'Defend the Constitution of the United States from all enemies, foreign or domestic.' At Orbis, this oath remains.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

Specific Technical Skills:
Experience with data analysis, how to derive value from data through analytics and enrich to formulate unknown outcomes. Performs statistical analysis and developer analytics using Python, R; strong understanding of machine learning concepts and model development and training; familiarity with corporate repos used for analysis and training models.
Scripting Languages, R, Python, ML principles, models; SQL, Java, C/C++ desired; Data Normalization, Visualization, Statistics, Cloud Analytics
Job Description:
Works with analysts and engineers to assess data results and build models to derive outcomes. Uses machine learning and models/model training to conduct data analysis. Understands basic principles of data science and data analysis.

Requirements:
Bachelor’s degree from an accredited college or university plus 8 years of DS experience.",3.7,"Orbis Operations
3.7","Fort Meade, MD",-1,201 to 500 Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,0,0,78,133,105.5,"Orbis Operations
",1, MD,1,0,0,0,0
Data Scientist Virtual Hiring Event,$78K-$133K (Glassdoor est.),"LMI Hiring Event!

Event Details
Date: Wednesday, September 30, 2020

What We're Hiring For

Data Engineer

Data Scientist

Software Engineer

Network Engineer

Information Security Analyst

Intake Details:

Requirements

Active US Secret Clearance (or above)

Technical requirements

The interview will take place on Indeed’s virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the virtual interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.

What to bring to this event

An electronic copy of your resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

About LMI

LMI is a consultancy dedicated to powering a future-ready, high-performing government, drawing from expertise in digital and analytic solutions, logistics, and management advisory services. We deliver integrated capabilities that incorporate emerging technologies and are tailored to customers' unique mission needs, backed by objective research and data analysis. Founded in 1961 to help the Department of Defense resolve complex logistics management challenges, LMI continues to enable growth and transformation, enhance operational readiness and resiliency, and ensure mission success for federal civilian and defense agencies.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

Active Secret clearance or higher
Bachelor’s degree in data science, mathematics, statistics, economics, computer science, engineering, or a related business or quantitative discipline
Experience working with tools, including object-oriented programming (Python, Java), computational analysis tools (R, MATLAB), and associated data science libraries (scikit-learn)
Experience creating meaningful data visualizations and interactive dashboards using platforms such as Tableau, Qlik, Power BI, RShiny, plotly, and d3.js to communicate findings and relate them back to how your insights create business impact
Working knowledge of databases and SQL; preferred qualifications include linking analytic and data visualization products to database connections
At least 5–10 years of experience in the field",4.2,"LMI
4.2","Baltimore, MD",-1,1001 to 5000 Employees,1961,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),-1,0,0,78,133,105.5,"LMI
",1, MD,1,0,0,0,0
Medical Laboratory Scientist,$78K-$133K (Glassdoor est.),"Job Summary:

Performs and interprets tests at all complexity levels. Demonstrates an understanding of the theory and scientific principles of laboratory testing as well as the technical, procedural and problem solving aspects. Correlates abnormal laboratory data with pathological states, determines the validity of test results and the need for additional tests. Determines the validity of test results through the monitoring and/or verifying of quality controls, standards, etc. Communicates test results, reference ranges, specimen requirements, and other pertinent information to authorized sources.

Job Responsibilities:

Follows the laboratory's procedures for specimen handling and processing, test analyses, reporting and maintaining records of patient test results.
Performs laboratory testing in a compliant manner.
Maintains regulatory knowledge and awareness as it pertains to specific job duties.
Adheres to the laboratory's quality control policies, document all quality control activities, instrument and procedural calibrations and maintenance performed.
Assumes responsibility for and takes action regarding any quality control or quality assurance issues as it pertains to specific job duties.
Maintains instruments and equipment in accordance with manufacturer’s specifications.
Assumes responsibility for good documentation practices and maintains clear and legible records.
Performs proficiency testing in compliance with Clinical Laboratory Improvement Amendments (CLIA) regulations i.e. analyze proficiency survey sample in the same manner as a patient specimens, no communication with other CLIA laboratories, complete record retention and accurate documentation and result reporting.
Assumes responsibility for participation in continuing education, professional development and required annual competency assessment.
Follows the laboratory's established policies and procedures whenever test systems are not within the laboratory's established acceptable levels of performance.
Identifies problems that may adversely affect test performance or reporting of test results and either must correct the problems or immediately notify the General Supervisor, Technical Supervisor, Clinical Consultant, or Laboratory Director.
Exercises good judgment, analytical and problem solving/troubleshooting skills.
Recommends solutions and improvements.
Documents all corrective actions taken when test systems deviate from the laboratory's established performance specifications.
May function in an educator and provides instruction and training in theory, technical skills, safety protocols, and the application of laboratory test protocols to students, employees, residents, etc.
Other duties as assigned.
Follows Hospital and department policies and procedures with special attention to attendance and punctuality, confidentiality, dress code and display of ID badge, and safety.
Completes mandatory education and training in order to maintain organization and department-specific competencies and requirements.

Education:

Bachelor's degree in a chemical, physical, biological or clinical laboratory science or medical technology from a four-year college or university.
One year training in approved program with registry/certification at Medical Technologist/ Clinical Laboratory Scientist level (MLS or MT) or registry eligible.
OR
Meets the CLIA qualifications for high complexity testing personnel grandfathering clauses.
See Code of Federal Regulations, Title 42, §493.1489(b)(3), §493.1489(b)(4), §493.1489(b)(5), §493.1491 Standards; High Complexity Testing Personnel Qualifications.
Diploma and/or transcripts must be provided.
Education will be verified.
Education outside of the United States requires diploma/transcripts translated into English and proof of foreign equivalency from by an HHS approved agency or nationally recognized organization such as NACES (National Association Credential Evaluation Services, Inc.) or AICE (Association of International Credential Evaluators, Inc.).

Languages:

Certifications:

Certification as a Medical Technologist (MT) or certification eligible preferred upon hire, from the American Society of Clinical Pathology (ASCP) or American Medical Technologists (AMT).
Certification must be obtained within one year of hire.

Complexity of Work:

Requires critical thinking skills, decisive judgment and the ability to work unsupervised or with minimal supervision.
Must be able to work in a stressful environment and take appropriate action.

Work Experience:

None required.

Physical Requirements:

Physical demands include: Visual acuity to study specimens under a microscope.
The ability to distinguish colors.
Fine motor skills and manual dexterity to handle specimens and lab equipment required to process specimens and repair equipment.
May be required to stand for long periods of time.
Light lifting may be required.
May be exposed to hazardous chemicals, biohazards, radioactive materials, etc.

Personal Protective Equipment:

Follows Standard Precautions using personal protective equipment as required.

The policy of Cleveland Clinic and its system hospitals (Cleveland Clinic) is to provide equal opportunity to all of our employees and applicants for employment in our tobacco free and drug free environment. All offers of employment are followed by testing for controlled substance and nicotine. Job offers will be rescinded for candidates for employment who test positive for nicotine. Candidates for employment who are impacted by Cleveland Clinic’s Smoking Policy will be permitted to reapply for open positions after 90 days. Decisions concerning employment, transfers and promotions are made upon the basis of the best qualified candidate without regard to color, race, religion, national origin, age, sex, sexual orientation, marital status, ancestry, status as a disabled or Vietnam era veteran or any other characteristic protected by law. Information provided on this application may be shared with any Cleveland Clinic facility.

Cleveland Clinic is pleased to be an equal employment employer: Women/Minorities/Veterans/Individuals with Disabilities",3.8,"Cleveland Clinic
3.8","Akron, OH",-1,10000+ Employees,1921,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,0,78,133,105.5,"Cleveland Clinic
",1, OH,0,0,0,0,0
Technical Data Engineer: Engines,$78K-$133K (Glassdoor est.),"POSITION TITLE: Technical Data Engineer: Engines

PROGRAM: Korea Country Standard Technical Order Sustainment

In this role, your primary functions would include the following:
The Technical Data Engineer II is responsible for the overall execution and day to day operation of all areas of the Korean F-15 Aircraft Engine Country Standard Technical Orders (CSTOs)
Interpret engineering data, engineering change proposals and other changes and directives and incorporate them into F-15 Aircraft Engine CSTOs
Develop maintenance data on new systems incorporated into the aircraft
Interface with USAF, Customer and other contractor personnel
Help other team members during periods of peak production requirements
Continue building the technical strength of the group to support future program needs
Ability to utilize Adobe FrameMaker, Photoshop and Distiller software to update existing and develop new CSTOs and illustrations a plus
REQUIREMENTS:
US Citizenship
Valid DOD Secret Clearance
Possess the advanced knowledge, experience and recognized ability to be considered an expert in technical field
Possess the ability to perform tasks and oversee the efforts of junior and mid-level personnel within the technical field
Travel in support of technical data conferences, meetings, reviews, validations, verifications, and other technical data related activities when requested (Such travel may be both CONUS and OCONUS)
Familiar with U.S. Air Force (USAF) field and depot level maintenance activities, USAF technical data, material qualification and acquisition systems, and USAF maintenance policies & programs
EDUCATION/OTHER:
Associate’s Degree or equivalent experience in a related field
Min 5 yrs technical data update experience in a related field
Min 5 yrs directly related experience or 10 years of experience with proper certifications
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
technical data: 5 years (Preferred)
related: 5 years (Preferred)
Work Location:
One location",-1.0,Ascension Global Solutions,"Warner Robins, GA",-1,-1,-1,-1,-1,-1,-1,-1,0,0,78,133,105.5,Ascension Global Solutions,1, GA,0,0,0,0,0
"Senior Data Scientist, FP&A",$78K-$133K (Glassdoor est.),")TITLE

Senior Data Scientist, FP&A

LOCATION

Orrville, OH (Close proximity to Cleveland/Akron)

REPORTS TO

Vice President FP&A & U.S. Business Finance

POSITION SUMMARY

The Senior Data Scientist, FP&A role is primarily responsible for developing new analytical capabilities across FP&A (and across finance), including the design of visual, predictive, and prescriptive analysis to drive business results. This role will contribute to the identification and communication of key insights utilized by leadership and the broader finance team(s) to execute our financial strategy. The development of new financial processes, models, and visualizations will be a key component of the role. Contributions from this role directly link to the Corporate Financial Strength strategic initiative and the Finance Transformation initiative. In addition, the person in this role will be expected to connect with the Finance Technology team and broader Corporate data science initiatives in order to maintain community and develop best practices in Finance.

KEY RESPONSIBILITIES

Apply data science techniques on disparate financial data sources to simplify processes and generate insights to execute the Company’s financial strategy and initiatives
Develop financial models and predictive analytics, specifically contributing to the Company’s ability to deploy its annual plan, monthly forecast, and strategic long-range plan
Work cross functionally and engage across FP&A (Corporate, SBA, and Customer Finance teams) to elevate level of data driven insigh ts an d decision-making capabilities and present findings and assumptions to key stakeholders
Develop new capabilities including dashboards and flash reporting to support issue resolution, insight generation and decision making
Enhance financial analytical capabilities and insights effectiveness around product innovation, product margins, cost management and customer financials
Identify opportunities to leverage machine learning, text mining, driver-based planning
Collaborate with finance colleagues and business partners to ideate, identify, prioritize and deliver business opportunities
Identify new data sources , inclusive of external sources, to enhance results and unveil opportunities
Increase the capability across the finance organization by researching and sharing new analytic techniques and tools
Share analytics tools and techniques with the broader organization analytics team and business partners to enhance the organizational finance and analytics acumen
Partner with finance colleagues to present findings, assumption and recommendations to key stakeholders

SELECTION CRITERIA

Education

Bachelor's or Master’s degree in Data Analytics, Statistics, Applied Math, Computer Science, or related field
Certification in Finance a plus

Experience

4+ years in a Data Scientist / Statistician / Quantitative Analyst type role is required
Experience/deep knowledge and use of a number of these tools:
Statistical modeling/forecasting (including experience explaining statistical models and coaching on techniques)
Python or R
SQL
PowerBI, Spotfire, or Tableau
Knowledge of multiple business functional areas and financial processes
Proven ability to work independently and as part of a cross-functional team required
Leadership interactions
Ability to influence and implement change
Prior experience in financial analysis and modeling preferred
Prior experience working with financial data, systems, or statements preferred

Other

Passionately curious
Ability to “connect-the-dots” applying concepts/ideas/learnings from one project/functional group to another and/or combining ideas from several areas into a larger idea/project
Demonstrated ability of balancing and prioritizing numerous requests while providing visibility to stakeholders

IND123

#LI-123",3.2,"The J. M. Smucker Company
3.2","Orrville, OH",-1,5001 to 10000 Employees,1897,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,0,0,78,133,105.5,"The J. M. Smucker Company
",1, OH,1,0,0,0,0
Clinical Laboratory Scientist - Medical Laboratory Scientist,$78K-$133K (Glassdoor est.),"_Seeking (2) MLS/CLS/MT_
_Per Diems also included_
Cass Lake, MN, is currently looking for (2) qualified Medical Lab Scientists. These are long term positions, with excellent pay and benefits.*
Varied Shifts:

Sunday-Saturday, 8 hr shifts starting at 0630, 0730, 0830, 1330 and possibly 2200.

Requirements:

A. Must be ASCP certified
B. Must be CPR certified

Experience:

at least (1) year experience that has equipped the candidate with the particular knowledge, skills and abilities to perform successfully the duties of this position.

MAJOR DUTIES:
a. Provide laboratory specimen collection, processing, testing and reporting services for eligible patients (Pediatrics, adults and elderly)
b. Collection of specimens from patients and preparation of specimens for routine testing or packaging them for referral to reference laboratory
c. Performs/monitors routine and specialized laboratory tests in microbiology, hematology, chemistry, urinalysis and serology
d. Conducts quality control procedures on equipment, reagents and products
e. Performs preventative maintenance for all instruments. Troubleshoots malfunctions and makes simple repairs or identifies need for external service
f. Is familiar with and follows all written procedures and policies including laboratory technical procedures, laboratory safety, and laboratory blood borne pathogen policy
g. Participates in laboratory proficiency testing
h. Participates in laboratory quality assurance program and the clinics continuous quality improvement program as necessary
i. Complete and file laboratory reports
j. Assists in keeping laboratory neat and orderly
k. Shall be knowledgeable and perform services using infection control practices in accordance with accreditation standards, IHS policy and procedures and other agency regulations and laws
l. Shall use personal protective equipment to protect patient and personnel from exposure from infectious disease as appropriate
m. Professional knowledge of medical terminology concepts, principles and practices derived through formal education
n. Understanding of related disciplines such as microbiology, chemistry, physiology, anatomy, and their relationships to medical terminology
o. Knowledge of quality control, proficiency testing and quality assurance to assure the reliability of data reported
Skill in interpreting and evaluating the results of test/examinations in process and upon completion in order to recognize anticipated reactions and departures from the norm. Repeats tests and examinations if results provide improper or imprecise outcomes and reports reoccurring abnormalities and deviations to the supervisor
q. Skill in calibrating and operating analytical instruments sufficient to independently perform reoccurring tests and analysis
r. Knowledge and ability necessary to provide care appropriate to the age of the patients served
s. Ability to identify and categorize and perform laboratory services to address each patients age specific needs (pediatric, adolescent, adult and geriatric)
t. Provides services in a professional and respectful manner when dealing patients and colleagues

Job Types: Full-time, Temporary, Contract

Pay: $62,000.00 - $69,000.00 per year

Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Referral program
Vision insurance
Schedule:
8 hour shift
Experience:
Detailing: 1 year (Required)
License:
CPR Certification (Required)
ASCP Certification (Required)
Contract Length:
3 - 4 months
5 - 6 months
7 - 11 months
1 year
More than 1 year
Full Time Opportunity:
Yes
Work Location:
One location
Work Remotely:
No",4.5,"DT-Trak Consulting, Inc
4.5","Cass Lake, MN",-1,51 to 200 Employees,-1,Company - Public,-1,-1,$1 to $5 million (USD),-1,0,0,78,133,105.5,"DT-Trak Consulting, Inc
",1, MN,0,0,0,1,1
Journeyman Data Scientist/Analyst,$78K-$133K (Glassdoor est.),"Description

Job Description:

JOB SUMMARY:

The Intelligence and Homeland Security Group of Leidos is seeking a Journeyman Data Scientist for an Intelligence Community (IC) program in Northern Virginia. An Active TS/SCI with polygraph security clearance is required in order to be considered for this position. The candidate will support Government staff in developing a broad range of written products in support of senior leadership and USG policymakers.

PRIMARY RESPONSIBILITIES:

Provide expert and professional data scientists to implement effective and innovative solutions meshing disparate data types to discover insight and trends in Human Capital information. Perform work on a data science team to advance Human Capital Analysis across the IC. Centralize Intelligence Community Chief Human Capital Office (IC CHCO) data collection and synthesis, including survey data enabling strategic and predictive analytics to guide business decisions. Develop or utilize complex programmatic and quantitative methods to find patterns and relationships in data sets; lead statistical modeling, or other data driven problem solving analysis to address novel or abstract business operations questions; and incorporate insight and findings into a range of products

BASIC QUALIFICATIONS:

Active TS/SCI with polygraph.
8+ years demonstrated core experience in the Labor Category area.
Demonstrated knowledge of the Intelligence Community.
Demonstrated experience performing data analysis and modeling on an independent (i.e., without significant guidance or direction) basis.
Demonstrated experience in developing and applying quantitative methods to find patterns and relationships in large human capital data sets (such as the Human Capital Data Call, Foreign Language Data Call, FAIR act data, etc.) using statistical and graphical packages.
Applied knowledge in the mathematical sciences such as probability, statistics, predictive modeling, computational social sciences; computer programming such as but not limited to Python, R, SAS, SPSS; and COTS data visualization packages such as but not limited to Tableau. Experience with Oracle Database and Procedural language/Structured Query Language (PUSQL).
Preferred experiences include but not limited to C#.NET, ASP.NET Model View Controller (MVC), jQuery, and Cascading Style Sheets (CSS), etc.
Demonstrated experience with structuring data, natural language processing, database technologies, and machine learning algorithms.
Ability to translate complex, technical, or analytic findings into an easily understood narrative - tell a story with the data in graphical, verbal, or written form.
Demonstrated five (5) years expertise in supporting quantitative and analytic efforts and knowledge of workforce planning. Experience should include engagement with the Intelligence Community and expertise with using analytical software.
Demonstrated professional experience in developing quantitative financial analysis related to budget formulation and execution. Experience in development of financial procedural guidance data formats related to CBJB workforce displays and analytic support, resource management and planning.
Demonstrated experience in human resource management supporting the federal government.
Demonstrated experience in the use of programming, design, development, and implementation of on*line and automated survey instruments.
Bachelor's or advanced degree in social sciences or related fields and requisite experience. Related fields may include statistics, mathematics, computer science, physical science, economics, or engineering.

External Referral Bonus:
Eligible

Potential for Telework:
No

Clearance Level Required:
Top Secret/SCI with Polygraph

Travel:
No

Scheduled Weekly Hours:
40

Shift:
Day

Requisition Category:
Professional

Job Family:
Data Scientist

Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world's toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company's 33,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Virginia, Leidos reported annual revenues of approximately $10.19 billion for the fiscal year ended December 28, 2018. For more information, visit www.Leidos.com.

Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.

Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.

All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.",3.6,"Leidos
3.6","Bethesda, MD",-1,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,78,133,105.5,"Leidos
",1, MD,1,0,0,1,0
